Text,Review-Activity,Season
"A TOTAL WASTE!!!!!!!!!11: This book was a total waste of money, time and effort. The guy in the story is so slow and dense, it's pathetic NOT FUNNY. Only one thing that I sort of, kinda of liked was the ending. The ending was better than the entire book.",REVIEW,NOT APPLICABLE
"I love staying inside and curling up with a good book, a warm blanket and a hot cup of tea or some apple cider. I love sledding. I love taking photos of nature, especially when it is covered in snow",ACTIVITY,WINTER
Skiing  Snow Ball Fights  Warming up in front of the fire,ACTIVITY,WINTER
turning off the  air conditioner  smelling the fall leaves  getting apples,ACTIVITY,FALL
Pumpkin festivities  Thanksgiving  NFL football,ACTIVITY,FALL
Reading  Cooking,ACTIVITY,WINTER
Riding in the snow sledding with family snowball fight,ACTIVITY,WINTER
"hiking, walking, outdoors",ACTIVITY,FALL
Fishing  Swimming  Boating,ACTIVITY,SUMMER
Snuggling on the couch  Watching movies   Staying at home,ACTIVITY,FALL
"Play, drink and smoke",ACTIVITY,WINTER
pumpkin pie  raking leaves  halloween,ACTIVITY,FALL
"Snow sledding, skiing and snow fighting",ACTIVITY,WINTER
"Going to festivals, going to farmer's markets, going to the local beach.",ACTIVITY,SUMMER
"Jimi did not want this released!: I can not believe the Hendrix Family decided to rerelease this, how ridiculous! This being released 30 years ago is irvelent to todays times with other collections. I highly recommend the ""Voodoo Child,"" double disk collection. It has all these songs including a lot more and a disk of live songs from different concerts. There just trying to make a few bucks, which they can't make much because Hendrix Fans aren't stupid. A really good rerelease would be JimiHendrix/OtisRedding live at Montery.",REVIEW,NOT APPLICABLE
"Great Album by a R&B Supergroup: This album is a classic. It is real, soulful r&b music by some of the greatest artists in the r&b world. This album has a lot of variety with elements of gospel, soul, and a little rock and roll. The artists that make up Lucy Pearl really put their heart and soul in this album to create real music that actually means something.",REVIEW,NOT APPLICABLE
"Mind-blowing: I put Saving Private Ryan into the VCR expecting to see just another war movie....was I ever wrong. When they landed on Omaha Beach to the very end (you all know what happens) I was on the edge of my seat. Everything about the movie was great, it was all very realistic.....my only complaint.....Shakespear in Love for best picture? WHAT WERE THEY THINKING? Tom Hanks, Tom Sizemore, Ed Burns and the rest of the cast were all superb...and many, many memorable scenes....This is definetly THE #1 movie of the decade, if not, this half the century.....",REVIEW,NOT APPLICABLE
Punpkin patch  Walks,ACTIVITY,FALL
staying inside  waiting for summer  wearing boots,ACTIVITY,WINTER
"cooler weather, walks through the park, and thanks giving",ACTIVITY,FALL
"Watching football, watching scary movies, eating candy",ACTIVITY,FALL
"The first Higgins Clark I read, and I still love it!: This is such an excellent mystery! A woman with a terrible past, and only her husband and one friend know about it. The world thinks she escaped justice when the trial over her 2 murdered kids is thrown out because of mistrial, and a key witness running off. It happened on her birthday. She rebuilt her life, has 2 more little kids, and they go missing. This proves she's a monster, right? Things like this just don't happen twice without direct reason. Did she do it? Is their any chance her children are still alive???? This book has twists, and I was shocked at what really happended and why.",REVIEW,NOT APPLICABLE
Nature walks  BBQ  Pool time,ACTIVITY,SUMMER
"Polk Audio RC85i - Great Speakers!: I purchase 2 sets for front and rear surround, paired with a Polk CS20 for center. They sound great and very clear. These in wall speakers of course is not an equivalent replacement for full speaker towers, however with my space limitation and a cleaner install I am extremely happy with them, an addition of a subwoofer will complement these speakers. Even without center or a subwoofer these speakers will be plenty loud in a 15x15 room. I am using a Denon AVR-2312CI to power these speakers. They are easy to install as I had the speaker wires run before the drywall where put on. Also Amazon's free delivery was awesome, I got them within 3 days of my order. Polk Audio RC85i most sounds for the bucks!",REVIEW,NOT APPLICABLE
"Fantastic Book/Translation: I learned French for this book. Simply, I wanted to read such a remarkable piece in its original version. This being done, I can assure you of two things when picking up Buss' translation. First, you are guranteed of a precisely accurate and tremendous translation. Secondly, you will be smitten with Dumas' work. Period.",REVIEW,NOT APPLICABLE
"dissapointed: I bought this thinking it was lethal poison, my wife has been nagging me a lot, and it's getting really annoying. I started putting it in her drinks and food, she said that it tasted funny (which is good, because i thought it was working), and then continued to nag me about my cooking. Although, she continued to eat my poisoned meals. Sadly, this product did not work, and my wife continues to nag me a lot, this product DOES NOT WORK. I will in the future be buying my women poisoning products else where.",REVIEW,NOT APPLICABLE
Shopping watching sports listening to music,ACTIVITY,WINTER
"Great Charger!: Pretty straight forward, safety features, multi stage, I have four Battery Tender chargers and they all do a great job keeping my AGM/SLE batteries in great shape!",REVIEW,NOT APPLICABLE
"I like to build snowmen, ski, and go bobsledding.",ACTIVITY,WINTER
Sitting by the fireplace.  Traveling to warmer climates. Awaiting the arrival of Spring.,ACTIVITY,WINTER
"Christmas shopping, having snowball fights when it snows, running outside in the cooler weather",ACTIVITY,WINTER
dinking coffee,ACTIVITY,WINTER
"Sylvania 6620LDG 20"" Flat Panel LCD TV with Built in DVD player: Light weight, space saving very attractive design. Sharp Picture, Good sound quality and quick response time. DVD playback also excellent. Only negative is its remote control. It is hard to read the functions of the keys due to color choices. The placement of the keys are almost illogical and you have to look at it carefully before each use. It almost seems like it was designed by an imbecil. The quality, the features and the price still makes this TV an excellent buy.",REVIEW,NOT APPLICABLE
Saving Private Ryan DVD order from Amazon: The DVD was scratched all over and I can't watch a lot of the scenes of the movie.,REVIEW,NOT APPLICABLE
traveling  cooking  house projects,ACTIVITY,SUMMER
"Should not be a requirement in high school: To me this book would turn a young person, like my self away from the key and enjoyment of reading . Being a book with extensive mistakes in it, it is very difficult to read unless you are to inerpret it every paragraph or should I say sentence. I't maybe a classic, but I feel that the word ""classic"" comes from just being old........................................................................................................p.s the only reason I put a star was because I had to, to express my opinion on he novel.",REVIEW,NOT APPLICABLE
"works great, just very small: This scale works really well and seems accurate, but the problem I have with it is that is so tiny. You can only weigh small amounts because you cannot fit much on this scale. What I end up doing when I have to weigh large amounts is fitting as much as I can on the scale, then writing down how many oz, and continue doing so until all of it is gone. This gets to be a little bit annoying. A feature that they could have made to make this easier would be if there was an ""add"" button, so that you wouldn't have to write down anything, and the scale would total it. So if you are not weighing a lot of food, this scale is nice. I plan to get another larger one though, as I am always weighing large amounts of food.",REVIEW,NOT APPLICABLE
Ice skating playing in snow snow sjoe walking,ACTIVITY,WINTER
"loose fitting: I find these shoes to be slightly larger than the size indicated causing a looser fit than I desire and this problem is compounded by the fact that the spring in the cinch tab is not as strong as needed to hold the laces tight. Walking no more than 100 feet causes the laces, and therefore shoes, to become uncomfortably loose. If I had not mistakenly discarded the box, I would have returned the shoes.",REVIEW,NOT APPLICABLE
"hot chocolate, pumpkin patch, knitting",ACTIVITY,FALL
Hunting  Fishing  Four wheelin,ACTIVITY,FALL
Ski  Indoor swimming   Ice skating,ACTIVITY,WINTER
"Being Single: Recommended for all single women. One of the few written from a single woman's perspective. Not really my kind of lifestyle, but I can relate to many aspects of it. Like it equally as Ally McBeal's. If there's no perfect man for me out there, I'm very much contented at being single.",REVIEW,NOT APPLICABLE
hot cocoa  polar express  fireplace,ACTIVITY,WINTER
"Snowboarding, rafting , surfing",ACTIVITY,WINTER
Playing in leaves  Playing football outside   Eating pumpkin pie,ACTIVITY,FALL
"Sledding, snowmobiling, building a fort",ACTIVITY,WINTER
"I love snowboarding,ice fishing,and skiing",ACTIVITY,WINTER
"Wow. I'm Completely Amazed.: This was, quite simply, the worst anime movie I ever sat down to watch. It's the worst one I've ever purchased, that's for sure. Blues singing (very, very bad blues singing) mixed with the old west in the middle of a futuristic city and a dark rider in a carriage... if done well it could have actually worked out quite nicely, the concept could have been interesting. But this isn't well done. It's not even medium rare. It's road kill. It's just bad.Since every other review has been good, I have to say: Sorry if you liked it and I've made you mad, but I really think it's crap. You can call me bad names and say I'm stupid if it'll make you feel better.",REVIEW,NOT APPLICABLE
"staying warm,staying warm,staying warm",ACTIVITY,WINTER
"Since I love in Florida I would have to say gardening, walking in Paris and going to fairs, festivals.",ACTIVITY,WINTER
EXACTLY LIKE THE BOOK!!!!: This movie is a picture perfect reverence of the book. Everything i pictured from the book came out in the movie. And the charactres in the film match the book's character's personalities. I'd give this movie 10 starts if i could. I sincerely ebcourage people to watch this movie.,REVIEW,NOT APPLICABLE
"Was doa: I know this item is cheap, but for a marine environment even if it wasn't dead on arrival it wouldn't of lasted. Didn't come with mounting screws and the terminals are very cheap.",REVIEW,NOT APPLICABLE
Great practical product: I have had this strainer for about a year and am ordering to replace it because it somehow ended up in the bottom of the dishwasher and melted. I love it. Small and practical but big enough to fit pasta for a family of four. Fits easily in the dishwasher and drawer. I highly recommend it.,REVIEW,NOT APPLICABLE
"Swimming, joggying and cycling",ACTIVITY,SUMMER
Watching sports on tv snowboarding drinking hot cocoa,ACTIVITY,WINTER
walking in the snow,ACTIVITY,WINTER
"Listen to music , play gams, do surveys",ACTIVITY,WINTER
"The weakest of a truly wonderful series: I have really liked the Heavenly Daze series. This installment,however, was so hard to get through! The challenge was not to put the book down (as in ""A Warmth in Winter"") but rather to keep picking it up!! So much whining and insecurity from all sides of the story lines. Pages and pages of the same stuff. Heavenly Daze books usually focus on a few islanders in each book and that has worked in the past, but not this time. Bobby and his pet were just obnoxious, Dana's and Mike's kiss and make-up was shallow, Annie's tomato project was lightly written off and the Cleta-Barbara thing was totally overdone although it was given the most acceptable resolution. The authors tried to touch too many bases this time. A miss wi",REVIEW,NOT APPLICABLE
"Hibernating, fishing and watching football.",ACTIVITY,WINTER
Sleeping   Camping  Jolidays,ACTIVITY,WINTER
"Whew!: Right. I bought this after watching Dig! - mainly because the music sounded wicked-cool and the visuals rocked. Impulse purchase, I guess.For the most part Tepid Peppermint Wonderland is great, the only problem is that there's so much material on the two dics! There's simply no way to listen to this record and go - 'Wow! I'm totally hooked!' and leave it sitting in your CD player for three weeks - just too much going on, I'm afraid. So for now I'm patienly getting to know (and love) this record little by little. Just don't buy this thinking that it's going to instantly make BJM the greatest thing you've ever heard. It takes a bit of time, but it is well worth the effort.",REVIEW,NOT APPLICABLE
Playing in snow. Hanging out with family during the Christmas season. Drinking hot coco.,ACTIVITY,WINTER
"Abraham Lincoln Vampire Hunter Blue-Ray: I think some of these DVD/Blu-Ray manufacturers are pricing their product out of the market. Why is this disk $30. It's only 1 disk, there's no DVD in the package, there's not even a digital copy. Nothing extra yet they're asking a premium price for the product. The pricing on DVDs & Blue-Ray disks is getting totally ridiculous.",REVIEW,NOT APPLICABLE
Bush gardens   Park  Movie theater,ACTIVITY,FALL
Hiking  Skiing  Running,ACTIVITY,FALL
"Awesome Combination Tuner and Metronome: Korg, as you know, makes a great tuner! Well, they also combine some pretty nice metronome features on this one for those tempo challenged folks like myself. In fact I have been using the metronome pretty heavily in my practice sessions of late. LOVE IT (well, OK, sometimes I hate it, the way it points out my flaws) This is my second one that I have owned--not that the other one gave me problems. I had it for years before I LOST it. When it came time to find another, it was a no brainer. I even looked just to see what is currently on the market, and hands down you can't beat the price or the features of this little jewel. If I find the other one (one can hope), I will keep both, to cover the several different instru",REVIEW,NOT APPLICABLE
Eating ice Cream  Reading  gardening,ACTIVITY,SUMMER
hiking in the mountains  apple picking  walking on the beach with the cool weather,ACTIVITY,FALL
Going to the beach  Gardening  Swimming,ACTIVITY,SUMMER
Getting Coffee  Being outside  Wearing sweaters,ACTIVITY,FALL
"Movies, malls, and casinos",ACTIVITY,WINTER
walking  nesting  reading,ACTIVITY,WINTER
"summing,driving,eating food.thanks for  this question.",ACTIVITY,SUMMER
"Brilliant Idea, Poorly Written: The idea behind The Giver is clearly a unique perspective on things. It is the type of book where, you are placed in the middle of a totally different area, and you are left to figure out how it works. Gradually, you learn more and more, and things you thought were obviously true, weren't. However, there are some things in this book that are unacceptable. For instance, this society is very complex, and yet, there was still only one active plot throughout the entire book. There was not a single scene that did not contain the main character. This book has the potential to be alot more entertaining to read, if it were to have more subplots. Also, the book is very simply written when it comes to the grammar and choice of vocabul",REVIEW,NOT APPLICABLE
Bonfire   Having apple cider   Football,ACTIVITY,FALL
Trick or treating with my kids.  Going to the pumpkin patch  Carving pumpkins,ACTIVITY,FALL
Shopping   Cooking  Cold weather,ACTIVITY,FALL
"Good, but no bonus: This is a fantastic CD and all, but although the Anniversary Edition (AVSA9821) it doesn't include the ""10 Years After"" (Dix Ans Apres) bonus CD. I got a remastered single 16-song disc, the same one I bought years ago. Buyer take note.",REVIEW,NOT APPLICABLE
Jogging  Pumpkin carving  Decorating,ACTIVITY,FALL
Swimming fishing eating,ACTIVITY,SUMMER
"Playing board games, sledding, and Christmas shopping",ACTIVITY,WINTER
"Nice for smaller women: The wife likes it so that's all that matters to me. Easy to put together so I don't know what all the fuss was about. I guess some just aren't mechanically inclined. Anyway, it was a good buy.",REVIEW,NOT APPLICABLE
"Enjoyable: This movie was about a giant who meets an agent(Billy Crystal). They travel to United States and appear in a couple of movies. This movie shows the relationship of the two people, and the relationship improves throughout the movie. If this movie didn't have Billy Crystal it would of been a failure, but since it did it was funny and enjoyable.",REVIEW,NOT APPLICABLE
Swimming  Camping  Picknick,ACTIVITY,FALL
Apple picking  Sleeping with windows open  Baking,ACTIVITY,FALL
Hockey. Sledding. Skating.,ACTIVITY,WINTER
"Music good, but Sony rootkit sucks: I have been trying to remove the rootkit and DRM software that this CD installed on my PC without success. I can't comprehend why Sony would produce a CD that I can't play on my PC without installing extra software of a very dubious nature. This is a dangerous precendent Sony is setting. What is to prevent other record companys from wanting to install their own software, and what guarantees do I have that it won't walk on Sony's device controllers, or slow my PC to a crawl running all this crap? I'll play this CD on the CD player, but not on my PC, and from my perspective, the value drops immensley without the PC functionality.",REVIEW,NOT APPLICABLE
Going to the beach  BBQing on the patio with friends  Taking day trips with the top down on the car,ACTIVITY,SUMMER
"Bring it out on DVD!: An absolute classic! Every moment in it is worth treasuring!I cannot understand that it is not shown on television, or available at least on video.It should be available to British viewers on DVD, not only for the American market.",REVIEW,NOT APPLICABLE
Fail: These are clearly youth-sized. If my knees are bent and I'm wearing knee socks I can attach these but walking is impossible (I'm 5'10). Can't judge the quality because I can't use them. Will be returning.,REVIEW,NOT APPLICABLE
"Sledding, drinking hot chocolate and watching it snow",ACTIVITY,WINTER
Watching the NFL   Fishing for largemouth bass  keeping warm,ACTIVITY,FALL
"Playing outside, camping and making smores",ACTIVITY,FALL
"snowshoeing, hiking, sitting inside watching the snow fall.",ACTIVITY,WINTER
Worst $50 I have ever spent: I bought this product to surprise my kids. I am lucky I tried it out before they came home. The cylinder would ice up and not spin. That would cause the teeth of the gears to strip. It never worked ONCE! The only bright side is I can take it back before my kids find out I bought it.,REVIEW,NOT APPLICABLE
"An Extraordinary African Childhood: Alexandra Fuller's ""Don't Let's Go To the Dogs Tonight"" will bring you into her world of a childhood spent in the wilds of Africa. Hers is a colorful memoir that you won't soon forget. While reading this book, I literally carried it with me everywhere I went so that I could read it during any spare moments I had during the day. Run, don't walk, to purchase this book and buy a spare to share with everyone you know!",REVIEW,NOT APPLICABLE
My favorites are skiing and snowboarding and snowmobile ride,ACTIVITY,WINTER
"Fierce political attack on NRA and Republicans: Patterson is obviously feeding red meat to the Left.In his Bizarro alternative universe there is no federal law prohibiting felons purchasing and possessing firearms.Patterson invents plastic guns that can't be detected by by magnetometers. In our universe, even guns with some plastic components such as their frames, use several ounces of metal in their barrels, springs, hammers, etc, not to mention that bullets are made of METAL!In our universe pistols that can be easily converted to automatic fire are classified as machine guns and subject to stringent licensing and taxation requirements. Doing it yourself conversions will subject you to a 10-year federal prison term.Et cetera, et cetera, ad nauseum.",REVIEW,NOT APPLICABLE
"Camping, Halloween, road trips",ACTIVITY,FALL
"burning leaves, decorating the house, sweatshirt weather",ACTIVITY,FALL
"fun with a phone: I'm almost 8,& I bought this phone with my own money! It was almost mybest purchase! My sisters thought it was so COOL that now,they want one!!! I LOVE the design, & so does my mom. I dont think the description said that the phone has a voice changer, but it does! You can change your voice to monster, or mouse!!!!! I REALLY like the phone!!!Kiana",REVIEW,NOT APPLICABLE
Beach  Gardening   Reading,ACTIVITY,SUMMER
"Doesn't live up to the hype.....: Consumer Reports raved about Swiss Diamond skillets. I bought this skillet for my husband as a Christmas gift (and who really enjoys his daily all-egg-white omelet). Well, it just never worked well. The eggs would never fluff up like they did with the previous skillet. Also, they would stick always..... He tried really low heat, medium heat, pre-heating the skillet, not pre-heating the skillet. Nothing worked well. So, maybe it works well for others and for other uses. But, we now have an expensive kitchen paper weight. Stick with the cheaper skillets.....",REVIEW,NOT APPLICABLE
Swimming   Gardening   Barbecuing,ACTIVITY,SUMMER
Movie  Shopping  Sleep,ACTIVITY,WINTER
Taking a ride around our local peninsula   Going for a walk along Lake Erie  Cozying yo and watching movies,ACTIVITY,FALL
Snow  Decorating,ACTIVITY,WINTER
"Didn't understand it..Didn't like it: I have to say that this was aconfusing mis-mash of a movie. I didn't understand half the things that happened in it. The end was a total let down and I'm still puzzled as to who was alive, dead, a ghost, or what. Rent don't buy. I fast forwarded thru parts because it got so slow that I was almost falling asleep several times. i had high hopes from reading the reviews, but my hopes were all dashed.",REVIEW,NOT APPLICABLE
"Skiing, ice fishing, ice skating",ACTIVITY,WINTER
Skiing. Sledding snowboarding,ACTIVITY,WINTER
Cutting wood   Playing in snow  Snow shoeing,ACTIVITY,WINTER
Football  Disc golf  Apple picking,ACTIVITY,FALL
"Christmas, ice fishing, watching it snow",ACTIVITY,WINTER
"For the seven of you out there still waiting, go see this.: Really. It's a great film. Mind you, it was only meant for me. I'm a comics fan from WAY back...I've read every issue of every title of our favorite wall-crawler. I've grown up with him. He's grown up with me. So it means something when a movie comes out that people like myself have literally waited their WHOLE lives for, and not be at all disappointed.To the contrary, in the theater, I grinned from the opening credits to the last flickering frame. The next day (had to go back, you know), same thing. I just saw it again on Christmas Eve, and again, pure bliss.It's smart. It's fun. It looks good. It sounds good. It IS good. The characters are terrific, the effects nifty and the drama multilayered a",REVIEW,NOT APPLICABLE
"swimming, reading, barbecuing",ACTIVITY,SUMMER
"BANDERAS IS ZORRO: This adventuresome comedy depicts Zorro (Antonio Banderas) as a balancing force for good; the savior he should be. But, after ten years of fighting injustice, he now faces his greatest challenge: his loving wife Elana (Catherine Zeta-Jones) is throwing him out of the house.Zorro's counterpart, Alejandro de la Vega, fearful of the loss of his family, stops only for a moment to renew romance to save the lost marriage, and the lost hope that his ten year old son displays in him, without knowing that his father is Zorro.Great family entertainment.The added features show the special effects and how the sequences are constructed and are very interesting.",REVIEW,NOT APPLICABLE
"believe the bad reviews: as the other reviews stated, my electric stapler lasted 10 minutes out of the box. they just havent figured out how to make them work yet. use the manual stapler",REVIEW,NOT APPLICABLE
"Watching the leaves change color, attending church and dry kids go back to school.",ACTIVITY,FALL
"Reading, hiking, long walks through a park",ACTIVITY,FALL
"Sledding, skating and tubing",ACTIVITY,WINTER
work    indoors sleeping,ACTIVITY,WINTER
Great service and convenience: Nice alternative to Sugar in the Raw. It tells our customers about who we are and that we care about quality products.,REVIEW,NOT APPLICABLE
Shopping  Visiting relatives  Playing snow,ACTIVITY,WINTER
"Snow skiing, remodeling projects indoors, watching football",ACTIVITY,WINTER
"Great general view of complexity of zoos: This was an easy to read, very well described, first-hand account of the complexity of working in a first class zoo.",REVIEW,NOT APPLICABLE
"Sleeping, video gaming, staying inside",ACTIVITY,WINTER
"Modern, but not deviant from the book: A very nice take on the book with lovely light and costumes like ornaments on a tree. Some fine performances, especially by Jonny Lee Miller, and good use of actual lines from the book. It stands firmly between the centuries.",REVIEW,NOT APPLICABLE
sleeping in  reading  watching movies,ACTIVITY,SUMMER
"Well, Raye Hollitt is beautiful: This movie has been wildly overpraised here, in my opinion. What can't be overpraised is the physique of Raye Hollitt, who has a short, memorable scene as a female bodybuilder who gives John Ritter's character more than he bargained for. Her muscular body is breathtakingly beautiful, providing for one of the sexiest scenes in recent movie history. The rest of the movie I could do without. Merely OK.",REVIEW,NOT APPLICABLE
Nikon Cool Pix 7900: I upgraded from Cool Pix 775. I love this camera. I have had it for over a year with no problems. It is easy to point and shoot and the pictures on the computer are great and I use them as screen savers. The prints are outstanding. I do seem to have a problem with red eyes and have not figured out how to get rid of them within the camera itself. I would buy this camera again. I think Nikon is top of the line.,REVIEW,NOT APPLICABLE
Visiting outdoor festivities   Sipping hot cocoa outside  Building a snowman with my family,ACTIVITY,WINTER
Watching movies snuggling with my son  Reading by the fire  Football,ACTIVITY,FALL
ski  skate   walk,ACTIVITY,WINTER
"Picking apples, carving pumpkin, thanksgiving dinner",ACTIVITY,FALL
Quality and reliability: I have had this product for a long time now and it is as good as the day I bought it! I have no regrets on this purchase whatsoever. It has never failed to perform flawlessly on any project I have undertaken.,REVIEW,NOT APPLICABLE
"Walking in cool days, snuggling to watch a movie, watching the beautiful trees.",ACTIVITY,FALL
"Trail walks, cooking, and crafts",ACTIVITY,FALL
"These books are fantastic: I love these books. I have Italy, Spain, Great Britain, Mexico, Germany, Switzerland, New Zealand and France. The information is good and the pictures are great. I don't actually take these books travelling with me. I look at them before I go and plan what I want to do by the books. I highly recommend these books for anyone who wants a travelling guide or for people who just want to read up on a country. The books have a wide range of information.",REVIEW,NOT APPLICABLE
The Kills is a good read (listen): First time read for me for this author. A very good read (listen) and I will be looking for more from this author in the future.,REVIEW,NOT APPLICABLE
Snowboarding.  Building a snowman. Ice skating,ACTIVITY,WINTER
"Relaxing indoors, watching TV, doing home maintenance",ACTIVITY,WINTER
watching movies,ACTIVITY,WINTER
Ice skating   Skiing  Playing in the snow,ACTIVITY,WINTER
"Swimming, amusement parks, late night walks",ACTIVITY,SUMMER
The climet. No pollution.grow. fresh vegetable,ACTIVITY,WINTER
"My favorite three activities are walking, singing and reading.",ACTIVITY,WINTER
"Eating halloween candy, going to my local harvest festival and getting apple cider. Starting to wear sweaters",ACTIVITY,FALL
"Won't connect TiVo to an 802.11b/g router: After 2 days of reconfiguring my network (Linksys 802.11B/G router) in every way imaginable & getting no connection from the TiVo with this adapter, I searched the messageboards and discovered this adapter is ""tempermental"" with a combined 802.11b/g router. The TiVo site recomends it, but no one mentioned router compatibility...get the WUSB12 model - worked like a charm in 3 minutes.",REVIEW,NOT APPLICABLE
"Football, basketball, camping",ACTIVITY,FALL
"drinking beer, playing music, playing softball",ACTIVITY,FALL
King's The Long Walk: Steven King is known for his suspense filled stories and edge of your seat tension. This story however failed to meet the expectations I have come to expect from King. This lacked the suspense of the dome and the creeps of Bag of Bones. If you are looking for a story of human suffering and tough choiches this is an acceptable read but if you want a true fright look for another King title cause this one does not deliver!,REVIEW,NOT APPLICABLE
Most disappointed it was not version with Sydney Portier: This version of Porgy & Bess was ok. However it is a far cry from the original with Potiere & company. Is ther any way you could find out if it will be on AMC. Thank you.,REVIEW,NOT APPLICABLE
"IF NOT FOR THE COURAGE OF THE FEARLESS CREW...: The absolute low point (to date, that is), of the STAR TREK franchise, VOYAGER is nothing more than Gilligan's Island in space. Unfortunately, they forgot to bring along Ginger and Mary-Ann...",REVIEW,NOT APPLICABLE
"Awesome!: This book is a wonderful overview of the history of the Jewish nation's return to the land of Israel wrapped within a compelling novel about the creation and early years of the modern nation of Israel (book period covers app 1946 - 1951). The characters are well developed (with backgrounds that are used to flesh out the history of the Jewish people throughout the Holy Land & Europe/Russia from app 1880 to 1946) and the story is compelling and rivetting eventhough it is very long (the back story alone on the Ben Canaan brothers is over 100 pages). Much of the historical parts of the book actually happened, but are used as character development for the fictional plot. One thing to note is that this book has an obvious pro-Jewish bias so for those o",REVIEW,NOT APPLICABLE
Poorly engineered: I must agree with Richard Keefer - the sound engineers have taken a silk purse and turned it into a sow's ear. What a pity!,REVIEW,NOT APPLICABLE
Hot chocolate   Baking   Fireplace,ACTIVITY,WINTER
"Should be Required Reading: I was raised in a ""breastfeeding family"" but this book still was amazing. It should be required reading for college students in business ethics courses. Students majoring in health education, nutrition, family sciences, and women's issues, all should read this during their coursework.The statistics and studies cited, and information contained, are invaluable in understanding how we came to be a formula-feeding society. And they are the nuggets of how we can reverse that situation. Inform yourself! And you'll begin to be able to inform others, too [given opportunities]. I'm amazed how many people don't recognize the duplicity of formula companies in their product marketing, here and in the Developing World.",REVIEW,NOT APPLICABLE
Watching movies and drinking hot cocoa and spending time with my family,ACTIVITY,WINTER
Fall fall fall,ACTIVITY,FALL
"Pumpkin patch, Halloween, Thanksgiving",ACTIVITY,FALL
Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry: I was disappointed to find out that there are two versions of this book and the one I needed was under the exact title but it is the esoteric version. The two versions are quite different is some stratigic ways.,REVIEW,NOT APPLICABLE
Watching football  Playing football  Chilling indoors,ACTIVITY,WINTER
it efficiently put me to sleep: joan of arc tv movie was a big disappointment. they made her seem like an imputent little child. she never tried to go for what she wanted but what she did was god acting in her done out of pure love for God. she felt totally free to advide that jerk of a king how behave like a king.,REVIEW,NOT APPLICABLE
"Very Technical & No real recipes for home dyers: I have this book and it is good but very technical - and the recipes are very general 4% of dye stuff to fibers dyeing etc, for which you'd need a scale...uses lots of metric calculations as well...it does give you a lot of information on a lot of different dye materials. I wouldn't recommend it for the home dyer.",REVIEW,NOT APPLICABLE
"Its in english: All the region 1 Bleach DVD are in English/Japanese though Amazon doesn't list it as being so, [...] shows when the region 1 release's are.",REVIEW,NOT APPLICABLE
"Another terrible ""sequel"".: How did this get a theatrical release??? Its like they thought...ok, well the first one made a lot of money and was pretty good (I loved it, by the way) so we'll get some random guys to make a sequel and people will see it because of what it is...thats just insulting!And as everyone else has said, this movie is DARK! I don't even remember what I watched or almost anything I saw because I guess, technically...I didn't see it! Everything, all the effects, the actors, everything was wasted because of the unbelievably bad lighting job here. I've never seen anything this terrible.There was no plot, no story, the characters were completely cliche and forgettable. There was just no one to care about in this movie. In the end, I wasted",REVIEW,NOT APPLICABLE
"Walking, going to the dog park, sitting outside and reading",ACTIVITY,SUMMER
"beautiful, haunting, and evocative.: I write in order to counter the article written by a Mr Gill. I am a big Jarrett fan and have many of his albums; this is by far my favourite. Mr Gill is correct in the sense that yes, the general interpretation of the standards is ""looser"" than usual. This looseness allows for greater creativity within the bounds of the structures. The piano playing on this album is especially lyrical, and as for his own solo introductions (such as the preface to ""My Funny Valentine""), they are moving in the extreme. I barely notice his alleged ""burblings"", so magnificent is his improvisation. As always his statement of the melody carries that Jarretesque roundness and clarity of tone. This album is an essential for any jazz lover, who",REVIEW,NOT APPLICABLE
"Reading a book in warm pajamas and a blanket, building snowmen with my children, and having snowball fights with my kids",ACTIVITY,WINTER
Watching Football  Playing football  Playing board games,ACTIVITY,WINTER
"Father Knows Best meets Son of Sam: A brilliant film! Excellent performance by Kevin Costner, William Hurt, Demi Moore and (even) Dane Cook. The story and dialog grab you right away and hold on through to the credits.",REVIEW,NOT APPLICABLE
walking biking driving,ACTIVITY,SUMMER
"Fires,  the cold, winter clothes",ACTIVITY,FALL
"Not very useful: Although I truly admire Robert Dilts and his approach to NLP, this book does not offer very interesting tools that you can use in your practice or classes, I am afraid. What a pity!",REVIEW,NOT APPLICABLE
"Drinking coffee, holiday specialties. Buying wine. Working out. Sports bars on the to do list.",ACTIVITY,FALL
Skiing  camping  ice skating,ACTIVITY,WINTER
"walking, working out, listening to talk radio",ACTIVITY,WINTER
Hiking. Taking pictures. Driving,ACTIVITY,FALL
"Average at best: Read the book, then watch the movie. Then you will get an appreciation of how poorly the movie was produced.",REVIEW,NOT APPLICABLE
Worthless: What were they thinking? The materials make sense but the design does not. What was I thinking? For any very small dog there is no way they could work.,REVIEW,NOT APPLICABLE
"Broken zipper: The Watch Box did its job, for a less than a year, of very rare trips, before the zipper gave out. I cannot, in good faith, recommend the item with sub-par quality components to carry fine watches.",REVIEW,NOT APPLICABLE
Gorgeous happy happy fluffy techno music ...: This is one of the best singles I have heard in the last 4 years. I LOVE IT ... Happy happy wonderful fluffy techno music ... you've gotta love it ... - you can see why Neil Lewis closes his gigs with this song ... love it ...,REVIEW,NOT APPLICABLE
